NYU-UCS-0241-03-Ribozero_S3_L002	NYU-UCS-0241-03-Trio_S3_L002	NYU-UCS-0303-03-Ribozero_S1_L002	NYU-UCS-0303-03-Trio_S1_L002	UCS-0019-MainEvent-Ribozero_S2_L002	UCS-0019-MainEvent-Trio_S2_L002	UCS-0116-MainEvent-Ribozero_S7_L002	UCS-0116-MainEvent-Trio_S7_L002	UCS-0209-MainEvent-Ribozero_S6_L002	UCS-0209-MainEvent-Trio_S6_L002	UCS-0232-02-Ribozero_S8_L002	UCS-0232-02-Trio_S8_L002	UCS-0232-05-Ribozero_S5_L002	UCS-0232-05-Trio_S5_L002	UCS-0289-04-Ribozero_S4_L002	UCS-0289-04-Trio_S4_L002
Sphaerochaeta globosa	0	0	0	4	0	0	0	11	0	1	0	1	0	0	1	0
Borrelia sp. A-FGy1	0	0	0	35	0	0	1	0	0	0	0	0	0	0	0	0
Treponema primitia	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0
Rubripirellula lacrimiformis	0	0	0	1	0	0	8	0	0	0	0	0	0	0	3	0
Chlamydia gallinacea	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia poikilotherma	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Thermodesulfobacterium geofontis	0	0	0	3	0	0	0	0	0	10	0	0	0	3	0	0
Haloplanus rubicundus	0	0	0	23	0	0	6	7	0	0	0	0	0	0	0	0
Haloplanus rallus	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0
Halorubrum sp. CBA1229	0	0	0	10	0	0	0	2	0	0	0	0	0	1	0	0
Halorubrum sp. PV6	0	0	0	5	0	0	0	1	0	0	0	0	0	0	2	0
Halorubrum sp. 2020YC2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Halobaculum rubrum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Natrinema halophilum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Halobiforma lacisalsi	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
Salinarchaeum sp. IM2453	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Methanosarcina barkeri	0	0	0	1	0	0	0	0	0	1	0	2	4	1	0	0
Methanosarcina sp. MTP4	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0
Methanosalsum zhilinae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Methanothrix soehngenii	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0
Methanocorpusculum labreanum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Methanospirillum hungatei	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacterium formicicum	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Methanosphaera stadtmanae	0	0	0	3	0	0	0	12	0	0	0	0	0	0	0	0
Methanothermus fervidus	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Methanococcus vannielii	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	0
Pyrococcus furiosus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ferroglobus placidus	0	0	0	10	0	4	0	0	0	1	0	2	0	0	0	0
Sulfolobus islandicus	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
Acidianus manzaensis	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Acidianus sulfidivorans	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Sulfurisphaera tokodaii	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Vulcanisaeta distributa	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
Thermoproteus uzoniensis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Staphylothermus marinus	0	0	0	5	0	1	7	0	0	30	1	0	5	0	0	0
Aeropyrum camini	0	0	0	3	0	0	0	0	0	0	0	9	0	0	0	0
Candidatus Nitrosocosmicus oleophilus	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Nitrosocosmicus franklandus	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
Conexivisphaera calida	0	0	0	9	1	0	17	0	0	0	0	8	0	0	0	0
Nitrosopumilus cobalaminigenes	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0
Nitrosarchaeum sp. AC2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Nitrosotalea okcheonensis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Korarchaeum cryptofilum	0	0	0	9	0	0	5	3	0	0	0	0	0	0	0	0
Cuniculiplasma divulgatum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Physalis rugose mosaic virus	0	0	0	3	0	1	0	0	0	0	0	2	0	0	0	6
Shamonda orthobunyavirus	0	0	0	22	0	1	1	12	0	1	0	3	0	0	0	0
Simbu orthobunyavirus	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
Seewis orhtohantavirus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Influenza A virus	0	0	0	16	0	0	0	3	0	2	0	1	0	2	0	91
Influenza B virus	0	0	0	6	0	0	0	3	0	0	0	1	0	0	0	6
Respiratory syncytial virus	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
Fussvirus S30C28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Columbid alphaherpesvirus 1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Saimiriine gammaherpesvirus 2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Hemileuca species nucleopolyhedrovirus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Orpheovirus IHUMI-LCC2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fowl aviadenovirus D	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Alphatrevirus NC28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Rousettus bat coronavirus HKU9	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0
Rabbit coronavirus HKU14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Human coronavirus HKU1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
Hedgehog coronavirus 1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Middle East respiratory syndrome-related coronavirus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Bat Hp-betacoronavirus Zhejiang2013	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0
Bat coronavirus HKU10	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0
Rhinolophus ferrumequinum alphacoronavirus HuB-2013	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Alphacoronavirus 1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
Lucheng Rn rat coronavirus	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
Avian coronavirus	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0
Rodent coronavirus	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
Hardy-Zuckerman feline sarcoma virus	0	0	0	0	3	5	0	0	0	0	0	0	2	0	0	0
Y73 sarcoma virus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hubei picorna-like virus 27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pahexavirus PHL092M00	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Colossusvirus PW	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Human mastadenovirus C	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Leishmania sp. MAR LEM2494	0	0	0	0	3	3	0	0	0	0	3	0	0	0	0	0
Leishmania mexicana	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas acidaminiphila	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
Luteibacter pinisoli	0	0	0	0	1	0	0	4	0	0	0	0	0	0	6	0
Citrobacter sp. RHBSTW-00524	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter variabilis	0	0	0	0	1	0	0	1	0	0	0	1	1	6	0	0
Psychrobacter sp. KCTC 72983	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Marinomonas sp. A3A	0	0	0	0	2	2	0	0	0	0	0	0	0	3	0	0
Pseudomonas sp. FIT81	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. NS1(2017)	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
Pseudomonas sp. NIBR-H-19	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Pseudomonas asgharzadehiana	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0
Pseudomonas maumuensis	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0
Alteromonas naphthalenivorans	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
Colwellia sp. Arc7-D	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Vibrio sp. THAF190c	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
Legionella sp. PC1000	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Aeromonas sp. 1805	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Microbulbifer sp. SH-1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
Burkholderia sp. LA-2-3-30-S1-D2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. PAMC 26561	0	0	0	0	1	0	4	0	1	0	1	0	0	0	2	0
Paraburkholderia edwinii	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter paneuropaeus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter sp. MWH-UH21B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hydrogenophaga sp. PBL-H3	0	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0
Acidovorax citrulli	0	0	0	0	4	0	14	0	0	0	0	0	0	1	0	2
Diaphorobacter nitroreducens	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Diaphorobacter sp. HDW4B	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0
Thauera chlorobenzoica	0	0	0	0	20	0	1	0	0	0	0	0	0	0	2	0
Mesorhizobium sp. B2-8-5	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0
Mesorhizobium sp. L-2-11	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0	0
Mesorhizobium loti	0	0	0	0	9	0	0	11	0	0	0	0	0	0	30	0
Sphingopyxis granuli	0	0	0	0	3	0	11	0	0	0	0	0	2	0	4	0
Paracoccus aminovorans	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0
Paracoccus sp. S8-55	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Roseobacter denitrificans	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
Salipiger sp. CCB-MM3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
Sulfitobacter alexandrii	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0
Komagataeibacter medellinensis	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0
Novacetimonas hansenii	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Azospirillum sp. TSH58	0	0	0	0	3	0	2	2	8	1	1	0	0	0	0	0
Skermanella sp. TT6	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
Malaciobacter mytili	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Sulfurimonas hydrogeniphila	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Nitratiruptor sp. SB155-2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacillus sp. COPE52	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Oceanobacillus iheyensis	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
Halobacillus sp. SSBR10-3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Planococcus sp. PAMC 21323	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
Planococcus massiliensis	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Paenibacillus kribbensis	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Paenibacillus azoreducens	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Exiguobacterium sp. MH3	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0
Blautia massiliensis	0	0	0	0	8	0	27	0	10	0	20	0	0	0	0	0
Blautia sp. NBRC 113351	0	0	0	0	2	1	0	0	0	0	3	0	0	0	0	0
Anaerostipes caccae	0	0	0	0	1	0	2	1	1	0	1	0	0	0	0	0
Faecalibaculum rodentium	0	0	0	0	3	0	22	0	7	0	7	0	3	0	1	0
Corynebacterium nuruki	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
Gordonia iterans	0	0	0	0	2	0	1	0	0	0	0	0	0	0	8	0
Gordonia amarae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. SirexAA-E	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. ADI95-16	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
Streptomyces sp. GS7	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0
Streptomyces tuirus	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0
Streptomyces finlayi	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0
Streptomyces xiamenensis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptomyces nojiriensis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptomyces tirandamycinicus	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Streptomyces rapamycinicus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Streptomyces aquilus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptomyces xanthii	0	0	0	0	1	0	0	0	5	0	2	0	0	0	3	0
Tessaracoccus aquimaris	0	0	0	0	7	0	7	8	5	0	0	0	2	0	19	0
Kocuria sp. BT304	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Arthrobacter sp. UKPF54-2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
Glutamicibacter arilaitensis	0	0	0	0	1	0	21	0	0	0	0	0	0	0	0	0
Pseudarthrobacter sp. BIM B-2242	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0
Curtobacterium sp. C1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cellulosimicrobium sp. 72-3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Brachybacterium avium	0	0	0	0	6	0	17	0	12	0	1	0	0	0	10	0
Micromonospora narathiwatensis	0	0	0	0	1	0	5	0	2	0	0	0	0	0	0	0
Amycolatopsis thermalba	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0
Amycolatopsis sp. YIM 10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
Saccharopolyspora sp. ASAGF58	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Synechococcus sp. MVIR-18-1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Synechococcus sp. MEDNS5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Spiroplasma floricola	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Candidatus Phytoplasma solani	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Deinococcus proteolyticus	0	0	0	0	2	0	0	5	0	0	0	1	1	0	0	0
Flavobacterium sp. GENT5	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1
Formosa sp. Hel1_31_208	0	0	0	0	1	0	0	0	0	5	0	1	0	0	0	0
Gramella sp. MT6	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
Empedobacter brevis	0	0	0	0	2	0	0	0	4	2	0	0	0	0	0	1
Echinicola soli	0	0	0	0	1	0	0	0	4	0	2	0	1	0	0	0
Bacteroides heparinolyticus	0	0	0	0	4	0	0	5	0	0	0	0	0	1	0	0
Chlorobaculum parvum	0	0	0	0	4	2	7	0	9	1	1	0	2	0	0	0
Roseimaritima multifibrata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter sp. AbM4	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0
Methanobrevibacter sp. YE315	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Methanothermococcus okinawensis	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Haloferax gibbonsii	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Halogeometricum borinquense	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Haloplanus sp. HW8-1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Haloarcula taiwanensis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Haloterrigena salifodinae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Methanocella conradii	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
Candidatus Nitrosopelagicus brevis	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Candidatus Nitrosotenuis sp. DW1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Thermosphaera aggregans	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Fervidicoccus fontis	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0
Murine coronavirus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Pipistrellus bat coronavirus HKU5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Human coronavirus 229E	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NL63-related bat coronavirus strain BtKYNL63-9b	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Bat coronavirus CDPHE15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bat coronavirus	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Phytophthora infestans RNA virus 2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pelagibacter phage HTVC008M	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pakpunavirus PaP1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Sextaecvirus SEP9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Operophtera brumata nucleopolyhedrovirus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Mollivirus sibericum	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
Pandoravirus dulcis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Torque teno virus 28	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Pigeon aviadenovirus A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Cryptosporidium hominis	0	0	0	0	0	1	0	0	49	83	0	6	1	0	0	0
Pythium arrhenomanes	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0
Pseudomonas coronafaciens	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
Enterobacteriaceae endosymbiont of Macroplea mutica	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Proteus sp. NMG38-2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. BHS4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Vibrio splendidus	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Vibrio sp. VB16	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0
Shewanella sp. FJAT-53749	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Pseudoalteromonas distincta	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0
Cycloclasticus sp. P1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Aeromonas rivuli	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Delftia sp. Cs1-4	0	0	0	0	0	7	0	19	46	1	29	13	0	0	0	8
Acidovorax carolinensis	0	0	0	0	0	2	0	3	0	0	16	0	0	1	0	0
Polynucleobacter sp. MWH-Aus1W21	0	0	0	0	0	1	0	0	0	2	0	2	0	1	2	0
Methylovorus glucosotrophus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0
Sulfitobacter dubius	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Leisingera sp. NJS201	0	0	0	0	0	1	2	0	0	0	0	0	8	0	0	0
Phaeobacter inhibens	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campylobacter sp. CCUG 57310	0	0	0	0	0	1	0	0	4	1	0	1	0	0	0	0
Helicobacter sp. NHP19-0012	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Halarcobacter bivalviorum	0	0	0	0	0	1	0	1	2	1	0	1	0	0	0	0
Myxococcus sp. SCHIC003	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Trichlorobacter lovleyi	0	0	0	0	0	1	0	0	120	6	0	0	0	2	0	0
Psychrobacillus sp. AK 1817	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Geobacillus genomosp. 3	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0
Terribacillus aidingensis	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0
Staphylococcus hyicus	0	0	0	0	0	1	15	11	0	0	0	0	1	0	0	0
Paenibacillus sp. S25	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Paenibacillus donghaensis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Planococcus faecalis	0	0	0	0	0	1	0	0	9	6	0	0	0	0	0	0
Ureibacillus thermosphaericus	0	0	0	0	0	3	2	3	26	8	0	0	0	0	0	0
Streptococcus urinalis	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0
Streptococcus marmotae	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Streptococcus sp. Marseille-Q3533	0	0	0	0	0	1	1	8	0	0	0	0	1	0	0	0
Enterococcus raffinosus	0	0	0	0	0	1	0	0	1	5	0	0	0	0	0	0
Roseburia intestinalis	0	0	0	0	0	1	0	0	33	0	6	0	0	0	0	0
Eubacterium limosum	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Erysipelothrix sp. HDW6C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Corynebacterium propinquum	0	0	0	0	0	1	2	23	3	0	0	0	1	0	0	0
Schaalia cardiffensis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Streptomyces fagopyri	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Streptomyces fungicidicus	0	0	0	0	0	1	1	0	1	8	0	0	0	0	0	0
Streptomyces capitiformicae	0	0	0	0	0	1	0	0	7	2	0	0	0	0	0	0
Streptomyces formicae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Micromonospora rifamycinica	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Calothrix sp. NIES-2098	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0
Allocoleopsis franciscana	0	0	0	0	0	2	0	0	4	5	0	0	0	0	0	0
Planktothrix rubescens	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0
Synechococcus sp. A10-1-5-1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
cyanobacterium endosymbiont of Rhopalodia gibberula	0	0	0	0	0	1	3	0	0	1	0	1	4	1	0	0
Meiothermus ruber	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Deinococcus irradiatisoli	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
Polaribacter batillariae	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
Polaribacter sejongensis	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Nonlabens sp. Ci31	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0
Tenacibaculum jejuense	0	0	0	0	0	2	0	0	2	6	1	0	0	1	0	0
Lutibacter sp. A80	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
Gramella sp. MAR_2010_147	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Leeuwenhoekiella sp. ZYFB001	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chryseobacterium camelliae	0	0	0	0	0	1	13	1	0	0	0	0	1	1	0	1
Blattabacterium sp. (Blattella germanica)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteroides zhangwenhongii	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
Tannerella serpentiformis	0	0	0	0	0	3	0	9	3	1	0	0	5	0	1	0
Butyricimonas faecalis	0	0	0	0	0	1	0	0	2	0	4	0	0	0	0	0
Hymenobacter sp. 5420S-77	0	0	0	0	0	3	8	0	0	1	1	0	1	0	0	0
Flammeovirga yaeyamensis	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0
Sphingobacterium lactis	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Chlorobaculum limnaeum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Leptotrichia trevisanii	0	0	0	0	0	1	0	0	0	3	0	1	0	1	0	0
Treponema vincentii	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
Leptospira kmetyi	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Haladaptatus sp. PSR8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Halapricum desulfuricans	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Natrarchaeobaculum sulfurireducens	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaeoglobus fulgidus	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Saccharolobus caldissimus	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0
Stenotrophomonas sp. YAU14D1_LEIMI4_1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0
Stenotrophomonas sp. pho	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0
Stenotrophomonas pavanii	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Xanthomonas hyacinthi	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Xanthomonas sacchari	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
Cronobacter muytjensii	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Acinetobacter sp. NCu2D-2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
Acinetobacter defluvii	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Acinetobacter tandoii	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0
Aggregatibacter sp. 2125159857	0	0	0	0	0	0	18	28	0	0	0	0	0	0	0	0
Pseudomonas sp. NC02	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
Pseudomonas sp. TKP	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0
Pseudomonas sp. Y39-6	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0
Pseudomonas sp. OE 28.3	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0
Pseudomonas sp. URMO17WK12:I11	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Pseudomonas trivialis	0	0	0	0	0	0	1	3	1	1	1	0	2	0	0	0
Pseudomonas tensinigenes	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0
Pseudomonas anuradhapurensis	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
